Cripto,media,mediana,std,variancia,minimo,maximo,amplitude,coef_var
ADA,0.5028290342205324,0.35165,0.537654722102595,0.28907260019921865,0.02329,2.966,2.9427100000000004,1.0692595007685826
AVAX,30.616080356117173,22.85,24.03758793559145,577.8056337612917,2.9026,134.84,131.9374,0.7851295024050549
BNB,245.48776391974204,242.5,229.1721283144166,52519.86439615942,1.49,749.72,748.23,0.9335378865943822
BTC,31320.292920292377,22797.16,27177.01084644944,738589918.5480306,3189.02,111696.21,108507.19,0.86771253754276
DOGE,0.10927399684354987,0.080425,0.10453939471573466,0.01092848504753217,0.0015817,0.68982,0.6882383,0.9566721977361746
DOT,11.661214414414415,6.5926,10.783215632132444,116.27773936906553,2.833,53.82,50.987,0.9247077747582896
ETH,1514.3595788374523,1532.89,1217.6442041984035,1482657.4080179634,83.76,4807.98,4724.219999999999,0.8040654420617644
SHIB,1.5722170747849107e-05,1.211e-05,9.622162451945005e-06,9.25860102516203e-11,5.89e-06,7.906e-05,7.317e-05,0.6120123363538319
SOL,82.81905053280987,45.48,70.68630306255287,4996.553440651071,1.198,261.97,260.77200000000005,0.853502939333379
XRP,0.6524761155759663,0.48269,0.5740149232472255,0.3294931321105181,0.13549,3.2922,3.15671,0.8797485602067134
