[2025-07-11 23:48:47,626] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-11 23:48:48,573] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-11 23:48:48,986] INFO: Gráfico linha salvo para ADA em: figures/ADA_linha_resumo.png
[2025-07-11 23:48:49,591] INFO: Gráfico linha salvo para AVAX em: figures/AVAX_linha_resumo.png
[2025-07-11 23:48:49,986] INFO: Gráfico linha salvo para BNB em: figures/BNB_linha_resumo.png
[2025-07-11 23:48:50,327] INFO: Gráfico linha salvo para BTC em: figures/BTC_linha_resumo.png
[2025-07-11 23:48:50,778] INFO: Gráfico linha salvo para DOGE em: figures/DOGE_linha_resumo.png
[2025-07-11 23:48:51,138] INFO: Gráfico linha salvo para DOT em: figures/DOT_linha_resumo.png
[2025-07-11 23:48:51,446] INFO: Gráfico linha salvo para ETH em: figures/ETH_linha_resumo.png
[2025-07-11 23:48:51,918] INFO: Gráfico linha salvo para SHIB em: figures/SHIB_linha_resumo.png
[2025-07-11 23:48:52,280] INFO: Gráfico linha salvo para SOL em: figures/SOL_linha_resumo.png
[2025-07-11 23:48:52,622] INFO: Gráfico linha salvo para XRP em: figures/XRP_linha_resumo.png
[2025-07-11 23:48:56,983] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:15:45,522] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:15:45,883] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:15:46,290] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:15:46,593] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:15:46,855] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:15:47,152] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:15:47,442] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:15:47,649] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:15:47,886] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:15:48,130] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:15:48,355] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:15:48,593] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:15:51,311] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:20:08,288] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:20:08,732] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:20:09,398] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:20:09,822] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:20:10,402] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:20:10,882] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:20:11,367] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:20:11,778] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:20:12,203] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:20:12,630] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:20:13,204] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:20:13,692] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:20:18,446] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:20:34,812] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:20:35,164] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:20:35,342] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:20:35,535] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:20:35,705] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:20:35,877] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:20:36,052] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:20:36,198] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:20:36,360] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:20:36,535] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:20:36,685] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:20:36,875] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:20:39,180] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:21:41,113] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:21:41,549] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:21:42,036] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:21:42,543] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:21:42,974] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:21:43,468] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:21:43,865] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:21:44,291] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:21:44,706] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:21:45,108] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:21:45,479] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:21:45,990] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:21:49,766] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:28:49,396] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:28:49,899] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:28:50,419] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:28:50,866] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:28:51,354] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:28:51,914] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:28:52,372] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:28:52,826] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:28:53,278] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:28:53,724] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:28:54,128] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:28:54,588] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:28:58,129] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:30:40,254] INFO: Iniciando geração do boxplot...
[2025-07-12 01:30:40,254] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 01:30:40,256] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 01:30:40,264] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 01:30:40,778] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
[2025-07-12 01:30:41,210] INFO: Histograma salvo em: figures/histograma_fechamento.png
[2025-07-12 01:30:41,711] INFO: Gráfico linha salvo para ADA em: figures/cryptos/ADA_linha_resumo.png
[2025-07-12 01:30:42,103] INFO: Gráfico linha salvo para AVAX em: figures/cryptos/AVAX_linha_resumo.png
[2025-07-12 01:30:42,525] INFO: Gráfico linha salvo para BNB em: figures/cryptos/BNB_linha_resumo.png
[2025-07-12 01:30:42,948] INFO: Gráfico linha salvo para BTC em: figures/cryptos/BTC_linha_resumo.png
[2025-07-12 01:30:43,394] INFO: Gráfico linha salvo para DOGE em: figures/cryptos/DOGE_linha_resumo.png
[2025-07-12 01:30:43,880] INFO: Gráfico linha salvo para DOT em: figures/cryptos/DOT_linha_resumo.png
[2025-07-12 01:30:44,440] INFO: Gráfico linha salvo para ETH em: figures/cryptos/ETH_linha_resumo.png
[2025-07-12 01:30:44,843] INFO: Gráfico linha salvo para SHIB em: figures/cryptos/SHIB_linha_resumo.png
[2025-07-12 01:30:45,270] INFO: Gráfico linha salvo para SOL em: figures/cryptos/SOL_linha_resumo.png
[2025-07-12 01:30:45,708] INFO: Gráfico linha salvo para XRP em: figures/cryptos/XRP_linha_resumo.png
[2025-07-12 01:30:50,184] INFO: Subplots salvos em figures/linhas_resumo_todas.png
[2025-07-12 01:32:54,600] INFO: Iniciando geração do boxplot...
[2025-07-12 01:32:54,600] INFO: Criptomoedas disponíveis: ['ADA', 'AVAX', 'BNB', 'BTC', 'DOGE', 'DOT', 'ETH', 'SHIB', 'SOL', 'XRP']
[2025-07-12 01:32:54,602] INFO: Total de dados coletados para o boxplot: 22777
[2025-07-12 01:32:54,610] INFO: DataFrame do boxplot criado com shape: (22777, 2)
[2025-07-12 01:32:55,109] INFO: Boxplot salvo em: figures/boxplot_fechamento.png
